Alg.,Time,Ein,Etest
Batch Gradient Descent,1.1374896460001764,0.9826589595375722,0.9844961240310077
Mini Batch Gradient Descent,1.5302586819998396,0.9788053949903661,0.9709302325581395
Scipy Optimize,2.099101605001124,0.9980732177263969,0.9844961240310077
